study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
1-s2.0-S027249442500372X,Corley,2026,Journal of Environmental Psychology,"Scotland, UK",10.1016/j.jenvp.2025.102889,Longitudinal birth cohort,475,79.06,Gardening,"Gardening frequency (never/rarely, sometimes, frequently)",Self-reported leisure activity frequency,,Telomere length; DNA methylation-based PhenoAge,Standardized beta coefficient; Hazard ratio,0.142,0.045,0.239,0.049,0.004,"Multivariable model adjusted for age, sex, education, occupational social class, living alone, BMI, smoking, cardiovascular disease, stroke, cancer, neighbourhood quality","Age, sex, education, occupational social class, living alone, BMI, smoking status, cardiovascular disease, stroke, cancer, neighbourhood quality, physical activity (in sensitivity analyses)",Longitudinal birth cohort,United Kingdom,0.049,BETA_STD,False,False,0.142,0.049,False,False,True,False,False,yi=std_beta; sei=SE from paper; clock_type MISSING — no clock subgroup,Mixed report: extract standardized beta (pool B) OR HR (pool D); check which refers to EAA as outcome,POOL_B,Gardening → EAA: std beta 0.142 SE=0.049; clock_type missing flagged
1-s2.0-S0306453025004275,Rodrigues,2026,Psychoneuroendocrinology,United States,10.1016/j.psyneuen.2025.107704,"Observational, cross-sectional analysis of biomarker data from MIDUS cohort",726,50.4,Aging anxiety,Declining health anxiety; cumulative aging anxiety,Psychosocial stressor (aging anxiety domains),GrimAge2; DunedinPACE,Standardized z-scores of epigenetic age acceleration,Standardized beta coefficient (SD change in epigenetic age acceleration per SD increase in anxiety),0.07,0.01,0.13,,0.05,Model 2: adjusted for sociodemographic factors and chronic health conditions,"Age, race/ethnicity, educational attainment, annual household income, marital status, menopausal status, number of chronic health conditions","Observational, cross-sectional analysis of biomarker data from MIDUS cohort",United States,0.03061224489795919,BETA_STD,False,False,0.07,0.03061224489795919,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,SD-SD standardized; sensitivity pool B,BETA_STD,SD-SD standardized; sensitivity pool B
11357_2024_Article_1408,Haoxin Tina Zheng,2025,GeroScience,Australia,10.1007/s11357-024-01408-5,prospective cohort with cross-sectional and longitudinal analyses,6208,58.8,Physical activity,"Physical activity score (log-transformed and standardized z-score), MET hours/week at follow-up","Self-reported physical activity (walking, vigorous, non-vigorous activities)","PCPhenoAge, PCGrimAge, bAge, DNAmFitAge, DunedinPACE",Age-adjusted and standardized residuals of epigenetic age measures,Standardized beta coefficient (per 1 SD increase in physical activity score),-0.07,-0.09,-0.04,,2e-08,"Model 1: adjusted for age, sex, country of birth","Age, sex, country of birth, SEIFA score, smoking status, smoking pack-years (log-transformed), alcohol consumption (spline), AHEI-2010 diet score, BMI (spline)",prospective cohort with cross-sectional and longitudinal analyses,Australia,0.01275510204081633,BETA_STD,False,False,-0.07,0.01275510204081633,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,SD-standardized; sensitivity pool B,BETA_STD,SD-standardized; sensitivity pool B
13148_2024_Article_1637,Willems,2024,Clinical Epigenetics,Germany; United States,10.1186/s13148-024-01637-7,Cross-sectional observational study,1058,42.65,Personality trait,Self-control (Brief Tangney Self-Control Scale in SOEP-G adults; Grit scale in TTP children/adolescents),Behavioral/psychological,PhenoAge Acceleration; GrimAge Acceleration; DunedinPACE,Principal-component-based PhenoAge and GrimAge Acceleration residualized for chronological age; DunedinPACE,Standardized beta coefficient,-0.34,-0.51,-0.17,,0.001,"Adjusted for socioeconomic contexts, BMI, smoking (where applicable), and genetic correlates of low self-control (polygenic scores)","Socioeconomic contexts, BMI, smoking, genetic correlates of low self-control",Cross-sectional observational study,Germany; United States,0.08673469387755102,BETA_STD,False,False,-0.34,0.08673469387755102,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,Standardized beta; sensitivity pool B,BETA_STD,Standardized beta; sensitivity pool B
DO-HEALTH Bio-Age,Bischoff-Ferrari,2025,Nature Aging,Switzerland,10.1038/s43587-024-00793-y,"Randomized controlled trial, 2x2x2 factorial design",777,75.47,Supplementation and exercise,"Vitamin D (2000 IU/day), Omega-3 (1 g/day), home exercise program (SHEP)",Intervention,"PhenoAge, GrimAge2, DunedinPACE (primary); also GrimAge, Horvath, Hannum (secondary)",Standardized change in age acceleration or pace of aging from baseline to 3 years,Standardized mean difference,-0.16,-0.3,-0.02,,,"Analysis of covariance adjusted for chronological age (continuous + spline at 85 years), sex, history of falls before study enrollment, BMI, study site, and baseline biological age measure","Chronological age, sex, history of falls, BMI, study site, baseline biological age",RCT,Switzerland,0.07142857142857142,BETA_STD,False,False,-0.16,0.07142857142857142,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,SMD (Cohen's d equivalent); sensitivity pool B,BETA_STD,SMD (Cohen's d equivalent); sensitivity pool B
gbaf194,Li,2025,"The Journals of Gerontology, Series B: Psychological Sciences and Social Sciences",Australia,10.1093/geronb/gbaf194,prospective cohort,6208,58.8,social relationships,social isolation index; living alone; social activity (hours/week); marital status; number of relatives; number of friends,social factors,PCPhenoAge; PCGrimAge; bAge; DunedinPACE,age-adjusted standardized residuals,beta coefficient (standardized),0.03,0.01,0.05,,0.02,"Model 2: adjusted for age, sex, country of birth, socioeconomic status, education level, smoking status, smoking pack-years (log), alcohol consumption (spline), physical activity, BMI, diet quality","age, sex, country of birth, socioeconomic status, education level, smoking status, smoking pack-years, alcohol consumption, physical activity, BMI, diet quality",cohort,Australia,0.01020408163265306,BETA_STD,False,False,0.03,0.01020408163265306,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,Standardized beta; sensitivity pool B,BETA_STD,Standardized beta; sensitivity pool B
glad082,Thomas,2023,Journals of Gerontology: Biological Sciences,USA,10.1093/gerona/glad082,cross-sectional,42625,47.0,Diet and Physical Activity,Mediterranean diet adherence (MeDi score tertiles); Leisure time physical activity (LTPA) levels,Lifestyle behaviors,PhenoAge (clinical blood chemistry-based algorithm),"PhenoAge advancement standardized (difference between biological and chronological age, standardized to mean=0, SD=1)",standardized beta coefficient (SD units of PhenoAge advancement),-0.14,-0.18,-0.11,,0.001,"Fully adjusted model (Model 5): adjusted for demographics (age, sex, race/ethnicity, total energy intake, NHANES wave), socioeconomic status (education, income-to-poverty ratio, marital status), smoking status, BMI category, and mutually adjusted for MeDi score and LTPA level","Age, sex, race/ethnicity, total energy intake, NHANES wave, education, income-to-poverty ratio, marital status, smoking status, BMI category, mutually adjusted for diet and physical activity",cross-sectional,United States,0.01785714285714286,BETA_STD,False,False,-0.14,0.01785714285714286,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,SD units; sensitivity pool B,BETA_STD,SD units; sensitivity pool B
nutrients-17-01409,Von Holle,2025,Nutrients,USA,10.3390/nu17091409,cross-sectional analysis within a prospective cohort,1260,56.0,body iron status,serum ferritin; serum iron; transferrin saturation,serum biomarkers,"DNA methylation-based epigenetic clocks (GrimAgeAccel, PhenoAgeAccel, DunedinPACE)",epigenetic age acceleration residuals for GrimAge and PhenoAge; DunedinPACE biomarker,standardized regression coefficient,0.06,0.01,0.11,,0.001,"adjusted for smoking status, educational attainment, alcohol use, body mass index, time since menopause, menopausal status, Healthy Eating Index (HEI-2015) Total Score, and physical activity","smoking status (current, former, never); education (high school or less, some college/associate, bachelor's, graduate); alcohol use (former/never, current); BMI (continuous); time since menopause (continuous, interaction with menopausal status); menopausal status (yes/no); HEI-2015 Total Score; hours of physical activity per week",cross-sectional analysis within a prospective cohort,United States,0.02551020408163265,BETA_STD,False,False,0.06,0.02551020408163265,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,Standardized; sensitivity pool B,BETA_STD,Standardized; sensitivity pool B
s41598-025-25877-6,Chen,2025,Scientific Reports,USA,10.1038/s41598-025-25877-6,Cross-sectional study,23932,49.67,Metabolic biomarker ratio,Uric acid to high-density lipoprotein cholesterol ratio (UHR),Continuous and tertiles,Phenotypic Age (PhenoAge); Klemera–Doubal Method (KDM) biological age,Phenotypic Age Acceleration (PhAA); KDM Age Acceleration (KDM-AA),Standardized beta coefficient,1.0,0.94,1.06,,0.001,"Model 3: adjusted for age, sex, race, education level, alcohol consumption, smoking status, cardiovascular disease, hypertension, diabetes, cancer, and physical activity","Age, sex, race, education level, alcohol consumption, smoking status, cardiovascular disease, hypertension, diabetes, cancer, physical activity",Cross-sectional study,United States,0.03061224489795921,BETA_STD,False,False,1.0,0.03061224489795921,False,False,True,False,False,yi = std_beta (SD units); sei = SE derived from CI,Standardized beta; sensitivity pool B,BETA_STD,Standardized beta; sensitivity pool B
