study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
1-s2.0-S0013935125028853,Jilong Bai,2026,Environmental Research,UK,10.1016/j.envres.2025.123632,prospective cohort,343723,56.57,residential environment,green space; blue space; natural environment,percentage coverage within 300 m and 1000 m buffers,Phenotypic Age (PhenoAge),PhenoAge acceleration (residual of PhenoAge regressed on chronological age),hazard ratio,0.79,0.74,0.85,,0.001,"Model B: adjusted for age, sex, ethnicity, education, Townsend Deprivation Index, residential area, BMI, smoking status, alcohol consumption, sedentary time, healthy diet","age, sex, ethnicity, education, Townsend Deprivation Index, residential area, BMI, smoking status, alcohol consumption, sedentary time, healthy diet",cohort,United Kingdom,0.02806122448979591,HR,False,False,-0.2357223335210698,0.03535361308320068,True,False,False,False,True,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),HR,Cox HR; secondary pool D; yi=log(HR)
1-s2.0-S1279770725002805,Yonghao Li,2026,"The Journal of Nutrition, Health and Aging",United Kingdom,10.1016/j.jnha.2025.100755,prospective cohort study,196473,,dietary patterns,"DASH, MEDAS, MIND dietary pattern adherence scores",dietary pattern scores,phenotypic age acceleration,PhenoAgeAccel residuals,hazard ratio,0.75,0.58,0.96,,0.05,"Model 2: adjusted for age, sex, BMI, ethnicity, annual household income, education level, smoking status, alcohol consumption, physical activity, and daily energy intake","age, sex, BMI, ethnicity, annual household income, education level, smoking status, alcohol consumption, physical activity, daily energy intake",cohort,United Kingdom,0.09693877551020408,HR,False,False,-0.2876820724517809,0.1285472400309737,True,False,False,False,True,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),HR,Cox HR; secondary pool D; yi=log(HR)
Liu_2025_DOM_UKBiobank,Liu,2025,"Diabetes, Obesity and Metabolism",United Kingdom,10.1111/dom.70261,prospective cohort study,54418,56.9,cardiorespiratory fitness,maximal oxygen uptake (VO2max),continuous and quartiles,biological age (BA) and phenotypic age (PhenoAge),age acceleration residuals from regression of BA and PhenoAge on chronological age,hazard ratio,0.72,0.68,0.76,,0.001,"fully adjusted for sex, age, ethnicity, smoking status, alcohol status, education level, BMI, overall health rating","sex, age, ethnicity, smoking status, alcohol status, education level, BMI, overall health rating",cohort,United Kingdom,0.02040816326530611,HR,False,False,-0.3285040669720361,0.02837388650771028,True,False,False,False,True,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),HR,Cox HR; secondary pool D; yi=log(HR)
s12967-025-06189-9,Qiu,2025,Journal of Translational Medicine,USA,10.1186/s12967-025-06189-9,cross-sectional,3509,49.72,Inflammatory markers and Helicobacter pylori infection,Neutrophil count and systemic inflammatory response index (SIRI),Blood inflammatory markers,Phenotypic age acceleration (PhenoAgeAccel),PhenoAgeAccel,hazard ratio,1.07,1.06,1.07,,0.001,"Adjusted for chronological age, sex, race, education, BMI, smoking, drinking behavior, comorbidity (hypertension, diabetes, renal failure), and dietary inflammation index (DII)","chronological age, sex, race, education, BMI, smoking, drinking behavior, comorbidity (hypertension, diabetes, renal failure), dietary inflammation index (DII)",cross-sectional,United States,0.002551020408163268,HR,False,False,0.06765864847381486,0.002395341925979347,True,False,False,False,True,yi = log(HR); sei = (log(CI_hi)-log(CI_lo))/3.92,Cox HR; secondary pool D; yi=log(HR),HR,Cox HR; secondary pool D; yi=log(HR)
